,tai,aa,slip,sec,all,dg
SIVmac239,-0.473194022121,-0.329218430288,-0.896011369952,-0.149210163125,0.253797207764,-0.275340522353
SARS_coronavirus,0.254369143742,0.217602847408,0.0346627547734,0.175872510573,0.353961894516,0.271790252177
simian_srv1_retrovirus,0.200022273172,0.330923091931,0.114803316111,0.138363360353,0.48074965029,0.201347655711
human_-_HERV-K10,0.239661809674,0.363941772518,0.130778820883,0.10052651028,0.411022031088,0.243611708799
west_nile_virus,0.291165210022,-0.488112177512,-0.024180359058,-0.114073611044,-0.0244700716212,-0.506872959117
PLRV_luteovirus,-0.0838706635914,-0.0951306685716,0.0503862558284,0.0122864996198,0.0557935226523,-0.0674006776082
human_T-lymphotropic_virus,-0.0941248149094,-0.0223547523417,-0.0686941524544,-0.383147702192,0.0654167572959,-0.0609430803083
HIV_HXB2,0.331802872026,0.411185663847,0.358600524559,0.190054019172,0.485174530887,0.349702003925
full,0.232321306425,0.248975043612,0.0846977258414,0.185829134473,0.27143321166,0.218416262308
eventlist,0.233948186732,0.240434359606,0.051448094594,0.162923641768,0.317430403897,0.182165656331
PRRSV_-_nsp2TF,-0.419324106163,-0.113578285263,-0.0862773394479,-0.28248563215,-0.256035910647,-0.274288119282
